id,title,main_picture,alternative_titles,start_date,end_date,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,media_type,status,genres,num_episodes,rating,pictures,related_anime,source
30694,Dragon Ball Super,"{'medium': 'https://cdn.myanimelist.net/images/anime/7/74606.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/74606l.jpg'}","{'synonyms': ['Dragon Ball Chou', 'DB Super', 'DBS'], 'en': 'Dragon Ball Super', 'ja': 'ドラゴンボール超（スーパー）'}",2015-07-05,2018-03-25,7.45,2108.0,217,851021,547250,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",131,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/7/74606.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/74606l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/5/76442.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/5/76442l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/2/77051.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/2/77051l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/9/77652.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/77652l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/6/80225.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/80225l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/11/83348.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/11/83348l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1092/91290.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1092/91290l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1035/98353.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1035/98353l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1903/110225.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1903/110225l.jpg'}]","[{'node': {'id': 813, 'title': 'Dragon Ball Z', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1277/142022.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1277/142022l.webp'}}, 'relation_type': 'parent_story', 'relation_type_formatted': 'Parent story'}, {'node': {'id': 2222, 'title': 'Dr. Slump: Arale-chan', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/9/38381.webp', 'large': 'https://cdn.myanimelist.net/images/anime/9/38381l.webp'}}, 'relation_type': 'character', 'relation_type_formatted': 'Character'}, {'node': {'id': 14837, 'title': 'Dragon Ball Z Movie 14: Kami to Kami', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1734/93678.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1734/93678l.webp'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 22777, 'title': 'Dragon Ball Kai (2014)', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/10/59275.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/59275l.jpg'}}, 'relation_type': 'parent_story', 'relation_type_formatted': 'Parent story'}, {'node': {'id': 25389, 'title': 'Dragon Ball Z Movie 15: Fukkatsu no ""F""', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1833/93679.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1833/93679l.webp'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 36946, 'title': 'Dragon Ball Super: Broly', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1575/93498.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1575/93498l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}, {'node': {'id': 37885, 'title': 'Super Dragon Ball Heroes', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1480/92990.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1480/92990l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}]",manga
11433,Ano Natsu de Matteru,"{'medium': 'https://cdn.myanimelist.net/images/anime/12/59405.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/12/59405l.jpg'}","{'synonyms': [], 'en': 'Waiting in the Summer', 'ja': 'あの夏で待ってる'}",2012-01-10,2012-03-27,7.4,2312.0,617,392824,182699,white,tv,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 22, 'name': 'Romance'}, {'id': 24, 'name': 'Sci-Fi'}]",12,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/11/31937.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/11/31937l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/7/34027.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/34027l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/13/36963.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/36963l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/12/59405.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/12/59405l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/5/80088.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/5/80088l.jpg'}]","[{'node': {'id': 23447, 'title': 'Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/13/63493.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/63493l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}]",original
21085,Witch Craft Works,"{'medium': 'https://cdn.myanimelist.net/images/anime/1949/112982.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1949/112982l.jpg'}","{'synonyms': ['Witchcraft Works'], 'en': 'Witch Craft Works', 'ja': 'ウィッチクラフトワークス'}",2014-01-05,2014-03-23,6.98,4367.0,705,349642,162349,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}, {'id': 37, 'name': 'Supernatural'}]",12,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/1949/112982.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1949/112982l.jpg'}]","[{'node': {'id': 22117, 'title': 'Witch Craft Works: Takamiya-kun to Imouto no Warudakumi', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1685/112971.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1685/112971l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}, {'node': {'id': 23487, 'title': 'Witch Craft Works Specials', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/12/73603.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/12/73603l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}]",manga
25183,Gangsta.,"{'medium': 'https://cdn.myanimelist.net/images/anime/8/74415.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/74415l.jpg'}","{'synonyms': [], 'en': 'Gangsta.', 'ja': 'GANGSTA. ギャングスタ'}",2015-07-02,2015-09-24,7.41,2239.0,382,593394,284968,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 68, 'name': 'Organized Crime'}, {'id': 42, 'name': 'Seinen'}]",12,r,"[{'medium': 'https://cdn.myanimelist.net/images/anime/2/72376.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/2/72376l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/8/74415.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/74415l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/13/75750.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/75750l.jpg'}]","[{'node': {'id': 31561, 'title': 'Gangsta. Recap', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1492/122102.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1492/122102l.jpg'}}, 'relation_type': 'summary', 'relation_type_formatted': 'Summary'}]",manga
2167,Clannad,"{'medium': 'https://cdn.myanimelist.net/images/anime/1804/95033.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1804/95033l.webp'}","{'synonyms': [], 'en': 'Clannad', 'ja': 'CLANNAD'}",2007-10-05,2008-03-28,7.99,655.0,90,1436723,765786,white,tv,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 37, 'name': 'Supernatural'}]",23,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/9/7682.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/7682l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/4/8457.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/8457l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/3/18882.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/3/18882l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/4/18884.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/18884l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/7/18885.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/18885l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1952/95032.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1952/95032l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1804/95033.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1804/95033l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1637/97155.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1637/97155l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1965/132300.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1965/132300l.jpg'}]","[{'node': {'id': 1723, 'title': 'Clannad Movie', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/13/75650.webp', 'large': 'https://cdn.myanimelist.net/images/anime/13/75650l.webp'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 4059, 'title': 'Clannad: Mou Hitotsu no Sekai, Tomoyo-hen', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/12/19620.webp', 'large': 'https://cdn.myanimelist.net/images/anime/12/19620l.webp'}}, 'relation_type': 'alternative_setting', 'relation_type_formatted': 'Alternative setting'}, {'node': {'id': 4181, 'title': 'Clannad: After Story', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1299/110774.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1299/110774l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}, {'node': {'id': 6351, 'title': 'Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/10/19621.webp', 'large': 'https://cdn.myanimelist.net/images/anime/10/19621l.webp'}}, 'relation_type': 'alternative_setting', 'relation_type_formatted': 'Alternative setting'}, {'node': {'id': 48775, 'title': 'Kaginado', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1558/118634.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1558/118634l.jpg'}}, 'relation_type': 'character', 'relation_type_formatted': 'Character'}, {'node': {'id': 50685, 'title': 'Kaginado Season 2', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1452/123859.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1452/123859l.jpg'}}, 'relation_type': 'character', 'relation_type_formatted': 'Character'}]",visual_novel
23283,Zankyou no Terror,"{'medium': 'https://cdn.myanimelist.net/images/anime/1417/117422.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1417/117422l.jpg'}","{'synonyms': ['Terror in Tokyo', 'Terror of Resonance'], 'en': 'Terror in Resonance', 'ja': '残響のテロル'}",2014-07-11,2014-09-26,8.08,531.0,122,1195190,630928,white,tv,finished_airing,"[{'id': 39, 'name': 'Detective'}, {'id': 7, 'name': 'Mystery'}, {'id': 40, 'name': 'Psychological'}, {'id': 41, 'name': 'Suspense'}]",11,r,"[{'medium': 'https://cdn.myanimelist.net/images/anime/3/63523.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/3/63523l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/10/67369.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/67369l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/13/67371.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/67371l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1337/117405.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1337/117405l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1417/117422.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1417/117422l.jpg'}]",[],original
16067,Nagi no Asu kara,"{'medium': 'https://cdn.myanimelist.net/images/anime/7/53549.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/53549l.jpg'}","{'synonyms': ['Nagi no Asukara', 'Nagiasu'], 'en': 'A Lull in the Sea', 'ja': '凪のあすから'}",2013-10-03,2014-04-03,7.95,712.0,370,611369,259911,white,tv,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 22, 'name': 'Romance'}]",26,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/9/43291.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/43291l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/7/53549.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/53549l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/13/54723.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/54723l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/3/54913.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/3/54913l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/8/56441.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/56441l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/5/59353.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/5/59353l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/12/59439.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/12/59439l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/8/59471.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/59471l.jpg'}]",[],original
2472,Naruto: Shippuuden Movie 1,"{'medium': 'https://cdn.myanimelist.net/images/anime/1703/134493.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1703/134493l.webp'}","{'synonyms': ['Naruto Shippuden Movie', 'Naruto Movie 4', 'Gekijouban Naruto Shippuuden'], 'en': 'Naruto Shippuden the Movie 1', 'ja': '劇場版NARUTO -ナルト- 疾風伝'}",2007-08-04,2007-08-04,7.29,2826.0,836,304043,176287,white,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",1,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/9/5458.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/5458l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/10/5459.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/5459l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/8/23849.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/23849l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1234/97279.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1234/97279l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1703/134493.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1703/134493l.jpg'}]","[{'node': {'id': 1735, 'title': 'Naruto: Shippuuden', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1565/111305.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1565/111305l.webp'}}, 'relation_type': 'parent_story', 'relation_type_formatted': 'Parent story'}]",manga
12531,Sakamichi no Apollon,"{'medium': 'https://cdn.myanimelist.net/images/anime/1604/98654.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1604/98654l.jpg'}","{'synonyms': ['Sakamichi no Aporon', 'Apollo on the Slope'], 'en': 'Kids on the Slope', 'ja': '坂道のアポロン'}",2012-04-13,2012-06-29,8.3,278.0,614,394425,175226,white,tv,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 43, 'name': 'Josei'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 19, 'name': 'Music'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}]",12,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/6/39685.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/39685l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/13/39687.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/39687l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/2/39689.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/2/39689l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/5/39691.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/5/39691l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1604/98654.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1604/98654l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1500/143192.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1500/143192l.jpg'}]",[],manga
4725,Ga-Rei: Zero,"{'medium': 'https://cdn.myanimelist.net/images/anime/9/83975.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/83975l.jpg'}","{'synonyms': ['Garei: Zero'], 'en': 'Ga-Rei-Zero', 'ja': '喰霊–零–'}",2008-10-06,2008-12-22,7.57,1630.0,1038,242393,96614,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 58, 'name': 'Gore'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}]",12,r,"[{'medium': 'https://cdn.myanimelist.net/images/anime/4/10995.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/10995l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/9/11355.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/11355l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/13/21185.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/21185l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/7/22698.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/22698l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/13/22699.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/22699l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/4/28689.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/28689l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/7/73892.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/7/73892l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/3/80329.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/3/80329l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/9/83975.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/83975l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1758/98395.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1758/98395l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1880/98396.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1880/98396l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1891/118998.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1891/118998l.jpg'}]","[{'node': {'id': 21353, 'title': 'Tokyo ESP', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/10/64587.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/64587l.jpg'}}, 'relation_type': 'character', 'relation_type_formatted': 'Character'}]",manga
512,Majo no Takkyuubin,"{'medium': 'https://cdn.myanimelist.net/images/anime/1579/140483.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1579/140483l.jpg'}","{'synonyms': [""Witch's Express Delivery""], 'en': ""Kiki's Delivery Service"", 'ja': '魔女の宅急便'}",1989-07-29,1989-07-29,8.23,341.0,372,607033,394108,white,movie,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 46, 'name': 'Award Winning'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}]",1,g,"[{'medium': 'https://cdn.myanimelist.net/images/anime/1/512.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1/512l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/6/14050.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/14050l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/8/32431.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/32431l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/11/36413.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/11/36413l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/3/42065.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/3/42065l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/9/76791.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/76791l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1219/118520.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1219/118520l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1579/140483.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1579/140483l.jpg'}]","[{'node': {'id': 35770, 'title': 'Hungry Days: Aoharu ka yo.', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1637/105124.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1637/105124l.jpg'}}, 'relation_type': 'character', 'relation_type_formatted': 'Character'}, {'node': {'id': 59105, 'title': ""Majo no Takkyuubin x McDonald's CMs"", 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1114/143643.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1114/143643l.jpg'}}, 'relation_type': 'character', 'relation_type_formatted': 'Character'}]",novel
40938,Hige wo Soru. Soshite Joshikousei wo Hirou.,"{'medium': 'https://cdn.myanimelist.net/images/anime/1146/113477.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1146/113477l.jpg'}","{'synonyms': ['I Shaved. Then I Brought a High School Girl Home.', 'Higehiro'], 'en': 'Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway', 'ja': 'ひげを剃る。そして女子高生を拾う。'}",2021-04-05,2021-06-28,7.27,2943.0,353,629181,336289,white,tv,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}]",13,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/1859/105059.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1859/105059l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1131/109565.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1131/109565l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1353/111794.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1353/111794l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1280/112748.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1280/112748l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/1146/113477.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1146/113477l.jpg'}]",[],light_novel
457,Mushishi,"{'medium': 'https://cdn.myanimelist.net/images/anime/2/73862.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/2/73862l.jpg'}","{'synonyms': [], 'en': 'Mushi-Shi', 'ja': '蟲師'}",2005-10-23,2006-06-19,8.65,74.0,219,848717,283386,white,tv,finished_airing,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 13, 'name': 'Historical'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",26,pg_13,"[{'medium': 'https://cdn.myanimelist.net/images/anime/4/6255.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/6255l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/8/15328.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/15328l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/3/22592.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/3/22592l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/5/30699.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/5/30699l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/3/32781.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/3/32781l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/13/48343.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/48343l.jpg'}, {'medium': 'https://cdn.myanimelist.net/images/anime/2/73862.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/2/73862l.jpg'}]","[{'node': {'id': 21329, 'title': 'Mushishi: Hihamukage', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/10/59315.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/59315l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}, {'node': {'id': 21939, 'title': 'Mushishi Zoku Shou', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/13/58533.webp', 'large': 'https://cdn.myanimelist.net/images/anime/13/58533l.webp'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}, {'node': {'id': 39738, 'title': 'Mushishi Recap', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1127/100635.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1127/100635l.jpg'}}, 'relation_type': 'summary', 'relation_type_formatted': 'Summary'}]",manga
